test_month,target,train_rows,test_rows,mae,rmse,r2,baseline_mae,baseline_rmse,baseline_r2,mae_improvement_pct,iterations,actual_mean,predicted_mean,mean_bias,actual_std,predicted_std,actual_min,predicted_min,actual_max,predicted_max,within_tolerance_pct,tolerance
2025-03,target_currentspeed,88985,48360,1.5485858943727158,2.0356997324831396,0.9676274382320985,2.4430623054504395,3.369826979454577,0.9112915992736816,36.61291851141736,180,36.123435974121094,36.13140248093531,0.007967818057242825,11.314234733581543,11.10878345356076,6.0,6.13579625687901,59.70000076293945,53.96938787846413,97.9859387923904,5.0
2025-03,target_traffic_density,88985,48360,0.027179951622553884,0.03688271353873342,0.9432587032817921,0.04627460241317749,0.06807020537995039,0.8067286014556885,41.263781415410016,180,0.21434718370437622,0.21427419971033318,-7.298796310259924e-05,0.15483646094799042,0.14970285674018524,0.0,0.012193108534647291,0.8600000143051147,0.841377452094044,86.58395368072787,0.05
2025-03,target_us_aqi,88985,48360,16.268812015062675,22.98477048456898,0.48224875385998733,14.29499626159668,20.586107239575355,0.5846738815307617,-13.807738857327482,180,82.55132293701172,73.58342531160623,-8.96789809616878,31.943286895751953,23.683555770032815,28.0,32.10377180841438,211.0,168.03290631984146,72.10297766749379,20.0
2025-04,target_currentspeed,137345,46800,1.6763418404731503,2.2564264836530157,0.960455834539569,2.555790662765503,3.489242916678602,0.9054411053657532,34.410049113362895,180,35.98816680908203,35.99126118916877,0.0030945301172284087,11.34697151184082,11.147840566556964,6.0,6.470716978769565,59.70000076293945,53.902841883347435,96.46153846153847,5.0
2025-04,target_traffic_density,137345,46800,0.03009434509179461,0.04271134676157062,0.926582224786958,0.048592738807201385,0.07057656267584987,0.7995363473892212,38.06822617840453,180,0.21675534546375275,0.21662088320227935,-0.0001344585620133552,0.15763136744499207,0.15260482220598537,0.0,0.016275034844299836,0.8600000143051147,0.8342594140014157,83.7542735042735,0.05
2025-04,target_us_aqi,137345,46800,12.724211699293212,17.0179467935039,0.7279679014278535,12.560961723327637,17.883266431547643,0.6996002793312073,-1.2996614396363866,180,87.24523162841797,88.57743650591925,1.332201463184202,32.62849807739258,25.218438444122793,30.0,39.07529645242187,186.0,170.97628010032247,78.95940170940172,20.0
2025-05,target_currentspeed,184145,48360,3.506331050847092,4.794574839004084,0.831824944478847,3.7143235206604004,5.0163149730467955,0.8159096837043762,5.59974026646789,180,34.507896423339844,36.97295056280049,2.46505560929442,11.691475868225098,9.622073415661323,6.0,11.039597275750342,59.099998474121094,53.95902568689439,76.30066170388751,5.0
2025-05,target_traffic_density,184145,48360,0.07387191902483384,0.10651737072259908,0.6177146559754121,0.07059552520513535,0.09909618233769492,0.6691274642944336,-4.641078609696577,180,0.24453948438167572,0.18338036244050468,-0.06115913289672905,0.17227672040462494,0.11327374106495791,0.0,0.02257061931755463,0.8600000143051147,0.7292234206037989,52.35525227460711,0.05
2025-05,target_us_aqi,184145,48360,15.379568251081569,20.210867654378294,0.7313076883051227,16.392742156982422,22.93511701049629,0.6539911031723022,6.180624914357576,180,96.48136901855469,93.72603252710412,-2.755336372813175,38.9903678894043,31.039161297711704,23.0,35.351410385191514,204.0,168.8864215247544,73.26095947063689,20.0
2025-06,target_currentspeed,232505,46800,3.0346578428894055,3.9015440694588333,0.8926222823081256,4.202093601226807,5.477598867703691,0.788348376750946,27.782240690606386,180,33.30276870727539,33.6563085242577,0.3535414296598485,11.906371116638184,11.245650899074171,6.0,4.237321893069835,58.900001525878906,53.425346399042375,81.28632478632478,5.0
