test_month,province_key,target,rows,mae,rmse,r2,baseline_mae,mae_improvement_pct
2025-03,ba_ria_vung_tau,target_currentspeed,5952,1.5866464401087876,2.0749817157552934,0.9565838754813815,2.4833669662475586,36.109062346663265
2025-03,dong_nai,target_currentspeed,8184,1.6435373428147517,2.216997601465231,0.9407363863060543,2.6169722080230713,37.19698903274474
2025-03,ho_chi_minh,target_currentspeed,16368,1.454990904518069,1.9121270514692623,0.9627649789076149,2.367192029953003,38.53515531872775
2025-03,long_an,target_currentspeed,11160,1.5991664838334383,2.084765390576367,0.9312897976422818,2.4166488647460938,33.827106322231245
2025-03,tay_ninh,target_currentspeed,6696,1.5431892983883173,1.9783202225650742,0.9534760404579937,2.424163579940796,36.341371054423405
2025-03,ba_ria_vung_tau,target_traffic_density,5952,0.026772537278868268,0.036324071792055365,0.9404348432849751,0.04545362666249275,41.09922740013103
2025-03,dong_nai,target_traffic_density,8184,0.02647493633466826,0.03717050664326138,0.9308045128798086,0.04449902102351189,40.504452175072046
2025-03,ho_chi_minh,target_traffic_density,16368,0.03032280791068545,0.04093816372648153,0.943417222993083,0.054181937128305435,44.035208931567766
2025-03,long_an,target_traffic_density,11160,0.024926532460625726,0.033278364787886136,0.9200765208093468,0.03941576927900314,36.760000079703794
2025-03,tay_ninh,target_traffic_density,6696,0.024476944067693303,0.03194761963337176,0.9360927499540503,0.04127688333392143,40.70060021324794
2025-03,ba_ria_vung_tau,target_us_aqi,5952,9.84981589731556,13.475678571190416,0.35093402227295833,7.701612949371338,-27.89289674859049
2025-03,dong_nai,target_us_aqi,8184,12.487566863985725,17.625874221625256,0.3728599452121697,10.854838371276855,-15.041481382433625
2025-03,ho_chi_minh,target_us_aqi,16368,15.706494147212311,22.67923137240168,0.40175207267271884,13.850072860717773,-13.40369328857328
2025-03,long_an,target_us_aqi,11160,21.890566717301347,29.134442427019355,0.30623554636553674,19.43987464904785,-12.606521968358104
2025-03,tay_ninh,target_us_aqi,6696,18.601071810946152,24.543521075885526,0.044178422175331855,16.873207092285156,-10.240286326189986
2025-04,ba_ria_vung_tau,target_currentspeed,5760,1.7436913892896753,2.3209032074921363,0.946314705381674,2.607395648956299,33.12517070481234
2025-04,dong_nai,target_currentspeed,7920,1.7699406286228676,2.419329821271484,0.9312066386662152,2.7098233699798584,34.6842805981106
2025-04,ho_chi_minh,target_currentspeed,15840,1.5875145133493833,2.15640048665732,0.9534456711424858,2.5004167556762695,36.51000339261365
2025-04,long_an,target_currentspeed,10800,1.6795707016419599,2.22724822306213,0.9224533223795917,2.4912779331207275,32.58196208007885
2025-04,tay_ninh,target_currentspeed,6480,1.7138290870299995,2.2792924275664985,0.9392501705903152,2.5645368099212646,33.17198332268755
2025-04,ba_ria_vung_tau,target_traffic_density,5760,0.02986866535899981,0.04226731327047691,0.9222035233277434,0.04782465472817421,37.54546576704559
