variant,target,feature,gain
xgboost_multisource_next_day,target_currentspeed,lag48_pm2_5,436.4024658203125
xgboost_multisource_next_day,target_currentspeed,rolling72_us_aqi_mean,436.3611145019531
xgboost_multisource_next_day,target_currentspeed,lag48_precipitation,434.0173034667969
xgboost_multisource_next_day,target_currentspeed,rolling72_us_aqi_std,424.5745544433594
xgboost_multisource_next_day,target_currentspeed,rolling72_traffic_density_min,423.7174377441406
xgboost_multisource_next_day,target_currentspeed,rolling24_pm2_5_std,422.86328125
xgboost_multisource_next_day,target_currentspeed,rolling48_us_aqi_min,415.6059875488281
xgboost_multisource_next_day,target_currentspeed,rolling72_pm2_5_std,411.9282531738281
xgboost_multisource_next_day,target_currentspeed,lag48_nitrogen_dioxide,409.7989807128906
xgboost_multisource_next_day,target_currentspeed,rolling48_currentspeed_std,407.6836242675781
xgboost_multisource_next_day,target_currentspeed,lag72_wind_speed_10m,405.3240051269531
xgboost_multisource_next_day,target_currentspeed,lag48_us_aqi,404.06787109375
xgboost_multisource_next_day,target_currentspeed,forecast_wind_speed_10m,402.2586669921875
xgboost_multisource_next_day,target_currentspeed,lag72_pm10,398.6163024902344
xgboost_multisource_next_day,target_currentspeed,lag72_sulphur_dioxide,390.04803466796875
xgboost_multisource_next_day,target_currentspeed,rolling24_pm2_5_mean,389.676025390625
xgboost_multisource_next_day,target_currentspeed,lag72_us_aqi,389.1067199707031
xgboost_multisource_next_day,target_currentspeed,rolling48_pm2_5_std,388.9427490234375
xgboost_multisource_next_day,target_currentspeed,rolling24_pm2_5_max,387.591796875
xgboost_multisource_next_day,target_currentspeed,lag48_pm10,380.47857666015625
xgboost_multisource_next_day,target_currentspeed,lag24_pm10,378.82940673828125
xgboost_multisource_next_day,target_currentspeed,lag24_sulphur_dioxide,375.76763916015625
xgboost_multisource_next_day,target_currentspeed,lag48_cloud_cover,374.4249267578125
xgboost_multisource_next_day,target_currentspeed,rolling24_traffic_density_std,366.8991394042969
xgboost_multisource_next_day,target_currentspeed,lag24_us_aqi,364.7532958984375
xgboost_multisource_next_day,target_currentspeed,rolling48_us_aqi_std,356.8160095214844
xgboost_multisource_next_day,target_currentspeed,rolling72_pm2_5_max,354.7286071777344
xgboost_multisource_next_day,target_currentspeed,forecast_cloud_cover,353.1168518066406
xgboost_multisource_next_day,target_currentspeed,rolling48_pm2_5_mean,352.17608642578125
xgboost_multisource_next_day,target_currentspeed,rolling24_us_aqi_mean,348.01922607421875
xgboost_multisource_next_day,target_currentspeed,rolling72_pm2_5_min,346.89202880859375
xgboost_multisource_next_day,target_currentspeed,lag48_carbon_monoxide,340.71435546875
xgboost_multisource_next_day,target_currentspeed,rolling24_traffic_density_max,339.30780029296875
xgboost_multisource_next_day,target_currentspeed,rolling72_pm2_5_mean,333.2070007324219
xgboost_multisource_next_day,target_currentspeed,rolling48_pm2_5_min,331.8343811035156
xgboost_multisource_next_day,target_currentspeed,rolling24_pm2_5_min,325.9451904296875
xgboost_multisource_next_day,target_currentspeed,lag72_carbon_monoxide,322.4556579589844
xgboost_multisource_next_day,target_currentspeed,rolling24_us_aqi_max,317.7119140625
xgboost_multisource_next_day,target_currentspeed,lag24_pm2_5,315.74822998046875
xgboost_multisource_next_day,target_currentspeed,lag24_cloud_cover,312.99798583984375
xgboost_multisource_next_day,target_currentspeed,rolling24_currentspeed_std,312.94775390625
xgboost_multisource_next_day,target_currentspeed,lag72_cloud_cover,312.2052917480469
xgboost_multisource_next_day,target_currentspeed,lag72_pm2_5,311.8888244628906
xgboost_multisource_next_day,target_currentspeed,lag24_carbon_monoxide,266.0170593261719
xgboost_multisource_next_day,target_currentspeed,rolling48_traffic_density_min,182.31260681152344
xgboost_multisource_next_day,target_currentspeed,rolling24_traffic_density_min,151.8510284423828
xgboost_multisource_next_day,target_traffic_density,lag24_traffic_density,187.8406524658203
