province,province_slug,location_name,lat,lon,status,attempts,rows,total_null_values,error,request_url
Hồ Chí Minh,ho_chi_minh,Go_Vap,10.8387,106.6653,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.8387&longitude=106.6653&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Hồ Chí Minh,ho_chi_minh,Phu_Nhuan,10.7992,106.6802,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.7992&longitude=106.6802&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Hồ Chí Minh,ho_chi_minh,Tan_Binh,10.801,106.6526,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.801&longitude=106.6526&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Hồ Chí Minh,ho_chi_minh,Tan_Phu,10.7902,106.6284,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.7902&longitude=106.6284&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Hồ Chí Minh,ho_chi_minh,Thanh_Pho_Thu_Duc,10.8494,106.7537,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.8494&longitude=106.7537&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Hồ Chí Minh,ho_chi_minh,Binh_Chanh,10.6779,106.5647,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.6779&longitude=106.5647&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Hồ Chí Minh,ho_chi_minh,Can_Gio,10.4114,106.9547,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.4114&longitude=106.9547&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Hồ Chí Minh,ho_chi_minh,Cu_Chi,10.9733,106.4931,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.9733&longitude=106.4931&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Hồ Chí Minh,ho_chi_minh,Hoc_Mon,10.8836,106.5897,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.8836&longitude=106.5897&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Hồ Chí Minh,ho_chi_minh,Nha_Be,10.6956,106.7402,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.6956&longitude=106.7402&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
