district_key,rows,actual_mean,predicted_mean,mae,rmse,r2,mean_bias,pearson_correlation,median_absolute_error,p95_absolute_error,max_absolute_error,within_10_aqi_pct,within_20_aqi_pct,aqi_category_accuracy_pct
binh_chanh,744,112.75940860215054,109.08027420026882,16.483710875,20.918633302067704,0.11152290842580326,-3.6791344018817203,0.5186914633340646,13.202749999999995,44.350719999999995,58.74472,35.88709677419355,67.74193548387096,56.58602150537635
binh_tan,744,91.04301075268818,104.34921623924731,19.744054838709676,23.123465117283306,-0.41396983624257677,13.306205486559138,0.26062285790332423,19.385220000000004,39.52529,46.91906,25.403225806451612,51.20967741935484,25.537634408602152
binh_thanh,744,91.04301075268818,100.29153338844085,16.51586703629032,20.07566283399239,-0.06579603811974111,9.248522635752687,0.4183190260781149,15.140012500000005,37.651194000000004,49.55001,34.946236559139784,63.575268817204304,63.97849462365591
can_gio,744,75.36290322580645,82.3681770860215,18.36350206451613,22.808255958698556,0.12639301464336927,7.005273860215054,0.4839212828749453,15.866824999999999,38.16045550000001,115.910515,25.268817204301076,62.23118279569893,78.49462365591397
cu_chi,744,112.75940860215054,109.7383161639785,16.550754916666666,20.853341277643047,0.1170605489495471,-3.021092438172042,0.5026079230081005,13.689610000000002,43.60779599999999,58.4945,35.88709677419355,66.93548387096774,56.58602150537635
go_vap,744,91.04301075268818,100.31530459408603,16.526891365591403,20.075720876167424,-0.06580220092593381,9.27229384139785,0.4222277092839767,15.221397000000003,37.033485,49.547430000000006,35.08064516129033,63.70967741935484,65.18817204301075
hoc_mon,744,112.75940860215054,109.37859075537634,16.58513053763441,20.99706953690449,0.10484757271933776,-3.380817846774193,0.5345332284433478,13.842060000000004,44.157939999999996,60.451139999999995,36.96236559139785,67.60752688172043,56.58602150537635
nha_be,744,91.04301075268818,100.44839604569893,16.61805603763441,20.15299847009998,-0.07402319081608022,9.405385293010752,0.41862513738521334,15.237279999999998,37.605294,49.55001,34.946236559139784,62.76881720430107,62.903225806451616
phu_nhuan,744,91.04301075268818,100.3916078064516,16.572360717741937,20.121961786077996,-0.07071763305484047,9.34859705376344,0.41831896498251386,15.240085,37.618643750000004,49.449935999999994,35.215053763440864,63.44086021505376,62.903225806451616
quan_1,744,91.04301075268818,100.3916078064516,16.572360717741937,20.121961786077996,-0.07071763305484047,9.34859705376344,0.41831896498251386,15.240085,37.618643750000004,49.449935999999994,35.215053763440864,63.44086021505376,62.903225806451616
quan_10,744,91.04301075268818,100.3916078064516,16.572360717741937,20.121961786077996,-0.07071763305484047,9.34859705376344,0.41831896498251386,15.240085,37.618643750000004,49.449935999999994,35.215053763440864,63.44086021505376,62.903225806451616
quan_11,744,91.04301075268818,100.29153338844085,16.51586703629032,20.07566283399239,-0.06579603811974111,9.248522635752687,0.4183190260781149,15.140012500000005,37.651194000000004,49.55001,34.946236559139784,63.575268817204304,63.97849462365591
quan_12,744,91.04301075268818,100.83574163709677,16.834192943548388,20.31932424825254,-0.09182450266924413,9.792730884408604,0.42374509129621946,15.780879999999996,37.236549999999994,49.17151,34.946236559139784,61.96236559139785,63.97849462365591
quan_3,744,91.04301075268818,100.3916078064516,16.572360717741937,20.121961786077996,-0.07071763305484047,9.34859705376344,0.41831896498251386,15.240085,37.618643750000004,49.449935999999994,35.215053763440864,63.44086021505376,62.903225806451616
quan_4,744,91.04301075268818,100.3916078064516,16.572360717741937,20.121961786077996,-0.07071763305484047,9.34859705376344,0.41831896498251386,15.240085,37.618643750000004,49.449935999999994,35.215053763440864,63.44086021505376,62.903225806451616
quan_5,744,91.04301075268818,100.3916078064516,16.572360717741937,20.121961786077996,-0.07071763305484047,9.34859705376344,0.41831896498251386,15.240085,37.618643750000004,49.449935999999994,35.215053763440864,63.44086021505376,62.903225806451616
quan_6,744,91.04301075268818,100.29153338844085,16.51586703629032,20.07566283399239,-0.06579603811974111,9.248522635752687,0.4183190260781149,15.140012500000005,37.651194000000004,49.55001,34.946236559139784,63.575268817204304,63.97849462365591
quan_7,744,91.04301075268818,100.29153338844085,16.51586703629032,20.07566283399239,-0.06579603811974111,9.248522635752687,0.4183190260781149,15.140012500000005,37.651194000000004,49.55001,34.946236559139784,63.575268817204304,63.97849462365591
quan_8,744,91.04301075268818,100.44839604569893,16.61805603763441,20.15299847009998,-0.07402319081608022,9.405385293010752,0.41862513738521334,15.237279999999998,37.605294,49.55001,34.946236559139784,62.76881720430107,62.903225806451616
tan_binh,744,91.04301075268818,100.29153338844085,16.51586703629032,20.07566283399239,-0.06579603811974111,9.248522635752687,0.4183190260781149,15.140012500000005,37.651194000000004,49.55001,34.946236559139784,63.575268817204304,63.97849462365591
tan_phu,744,91.04301075268818,100.29153338844085,16.51586703629032,20.07566283399239,-0.06579603811974111,9.248522635752687,0.4183190260781149,15.140012500000005,37.651194000000004,49.55001,34.946236559139784,63.575268817204304,63.97849462365591
thu_duc,744,91.04301075268818,100.44839604569893,16.61805603763441,20.15299847009998,-0.07402319081608022,9.405385293010752,0.41862513738521334,15.237279999999998,37.605294,49.55001,34.946236559139784,62.76881720430107,62.903225806451616
